Lat,Lon
40.38711,-71.253235
40.421833,-71.23999
40.456554,-71.226685
40.491272,-71.21338
40.525997,-71.20004
40.560707,-71.18671
40.59543,-71.17337
40.630135,-71.16
40.664845,-71.14664
40.699554,-71.13324
40.73426,-71.11984
40.768963,-71.106445
40.80366,-71.09302
40.838375,-71.07956
40.87307,-71.0661
40.90777,-71.05264
40.942444,-71.039154
40.97714,-71.025665
41.011833,-71.012146
41.04652,-70.99863
41.081207,-70.98511
41.115887,-70.97156
41.15057,-70.95798
41.18525,-70.9444
41.219917,-70.93082
41.254597,-70.917206
41.28926,-70.903564
41.32394,-70.88995
41.3586,-70.87628
41.39326,-70.86264
41.42792,-70.84897
41.462578,-70.835266
41.497234,-70.82156
41.531895,-70.80786
41.56654,-70.79413
41.601192,-70.780396
41.63584,-70.7666
41.670483,-70.75287
41.705128,-70.739075
41.739765,-70.72525
41.774403,-70.711426
41.80904,-70.69763
41.843662,-70.68378
41.878296,-70.66992
